Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Product Order,Edge Chromium 145.0.3800.82,,,06-03-2026 16:58:40,06-03-2026 17:04:47,6m - 6.836s,FAILED
,,,,,,,
Test Cases/Product Order/TC_PO_01,Edge Chromium 145.0.3800.82,,,06-03-2026 16:58:41,06-03-2026 17:00:09,1m - 28.154s,PASSED
"callTestCase(findTestCase(""Login/TC_LOG_01""), [:], STOP_ON_FAILURE)",Edge Chromium 145.0.3800.82,,,06-03-2026 16:58:42,06-03-2026 16:59:15,33.379s,PASSED
"setText(findTestObject(""Product Order/input_Indonesia_cy-search-product""), ""Mobile Legend"")",Edge Chromium 145.0.3800.82,,,06-03-2026 16:59:15,06-03-2026 16:59:16,0.993s,PASSED
delay(5),Edge Chromium 145.0.3800.82,,,06-03-2026 16:59:16,06-03-2026 16:59:21,5.016s,PASSED
"click(findTestObject(""Product Order/img_Indonesia_h-12 w-12 rounded-lg object-cover object-top""))",Edge Chromium 145.0.3800.82,,,06-03-2026 16:59:21,06-03-2026 16:59:22,0.661s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 16:59:22,06-03-2026 16:59:23,1.044s,PASSED
"scrollToElement(findTestObject(""Product Order/input__User ID""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 16:59:23,06-03-2026 16:59:26,3.618s,PASSED
"setText(findTestObject(""Product Order/input__User ID""), user_id)",Edge Chromium 145.0.3800.82,,,06-03-2026 16:59:26,06-03-2026 16:59:37,10.721s,PASSED
"setText(findTestObject(""Product Order/input__Zone ID""), zone_id)",Edge Chromium 145.0.3800.82,,,06-03-2026 16:59:37,06-03-2026 16:59:48,10.740s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 16:59:48,06-03-2026 16:59:51,3.025s,PASSED
"scrollToElement(findTestObject(""Product Order/input__Email""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 16:59:51,06-03-2026 16:59:51,0.289s,PASSED
"setText(findTestObject(""Product Order/input__Email""), valid_email)",Edge Chromium 145.0.3800.82,,,06-03-2026 16:59:51,06-03-2026 16:59:53,1.504s,PASSED
"click(findTestObject(""Product Order/button_Weekly Diamond Pass""))",Edge Chromium 145.0.3800.82,,,06-03-2026 16:59:53,06-03-2026 16:59:53,0.723s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 16:59:53,06-03-2026 16:59:56,3.012s,PASSED
"click(findTestObject(""Product Order/button_Rp 27,819""))",Edge Chromium 145.0.3800.82,,,06-03-2026 16:59:56,06-03-2026 16:59:57,0.640s,PASSED
delay(2),Edge Chromium 145.0.3800.82,,,06-03-2026 16:59:57,06-03-2026 16:59:59,2.017s,PASSED
"click(findTestObject(""Product Order/svg_Buy_lucide lucide-chevron-down h-4 w-4 shrink-0 transition-transform duration-200""))",Edge Chromium 145.0.3800.82,,,06-03-2026 16:59:59,06-03-2026 17:00:00,1.255s,PASSED
"click(findTestObject(""Product Order/p_QRIS""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:00:00,06-03-2026 17:00:01,0.768s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 17:00:01,06-03-2026 17:00:04,3.012s,PASSED
"buyButton = findTestObject(""Object Repository/Product Order/button_Buy"")",Edge Chromium 145.0.3800.82,,,06-03-2026 17:00:04,06-03-2026 17:00:04,0.007s,PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(buyButton)))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:00:04,06-03-2026 17:00:04,0.353s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 17:00:04,06-03-2026 17:00:07,3.007s,PASSED
"verifyElementVisible(findTestObject(""Product Order/span_nomor pesanan""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:00:07,06-03-2026 17:00:08,0.305s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 17:00:08,06-03-2026 17:00:09,1.006s,PASSED
,,,,,,,
Test Cases/Product Order/TC_PO_02,Edge Chromium 145.0.3800.82,,,06-03-2026 17:00:09,06-03-2026 17:01:11,1m - 2.320s,PASSED
"callTestCase(findTestCase(""Login/TC_LOG_01""), [:], STOP_ON_FAILURE)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:00:09,06-03-2026 17:00:39,30.034s,PASSED
"setText(findTestObject(""Product Order/input_Indonesia_cy-search-product""), ""Mobile Legend"")",Edge Chromium 145.0.3800.82,,,06-03-2026 17:00:39,06-03-2026 17:00:40,0.995s,PASSED
delay(5),Edge Chromium 145.0.3800.82,,,06-03-2026 17:00:40,06-03-2026 17:00:45,5.016s,PASSED
"click(findTestObject(""Product Order/img_Indonesia_h-12 w-12 rounded-lg object-cover object-top""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:00:45,06-03-2026 17:00:46,0.623s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 17:00:46,06-03-2026 17:00:47,1.028s,PASSED
"scrollToElement(findTestObject(""Product Order/input__User ID""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:00:47,06-03-2026 17:00:52,4.971s,PASSED
"setText(findTestObject(""Product Order/input__Zone ID""), zone_id)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:00:52,06-03-2026 17:01:02,10.573s,PASSED
