Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:02,06-03-2026 17:01:05,3.019s,PASSED
"scrollToElement(findTestObject(""Product Order/input__Email""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:05,06-03-2026 17:01:05,0.312s,PASSED
"setText(findTestObject(""Product Order/input__Email""), valid_email)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:05,06-03-2026 17:01:07,1.724s,PASSED
"click(findTestObject(""Product Order/button_Weekly Diamond Pass""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:07,06-03-2026 17:01:08,0.735s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:08,06-03-2026 17:01:09,1.015s,PASSED
"click(findTestObject(""Product Order/button_Rp 27,819""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:09,06-03-2026 17:01:10,0.536s,PASSED
"verifyTextPresent(""Input ini wajib diisi"", false)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:10,06-03-2026 17:01:10,0.554s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:10,06-03-2026 17:01:11,1.008s,PASSED
,,,,,,,
Test Cases/Product Order/TC_PO_03,Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:11,06-03-2026 17:02:06,55.058s,PASSED
"callTestCase(findTestCase(""Login/TC_LOG_01""), [:], STOP_ON_FAILURE)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:11,06-03-2026 17:01:33,21.772s,PASSED
"setText(findTestObject(""Product Order/input_Indonesia_cy-search-product""), ""Mobile Legend"")",Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:33,06-03-2026 17:01:34,1.159s,PASSED
delay(5),Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:34,06-03-2026 17:01:39,5.007s,PASSED
"click(findTestObject(""Product Order/img_Indonesia_h-12 w-12 rounded-lg object-cover object-top""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:39,06-03-2026 17:01:40,0.582s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:40,06-03-2026 17:01:41,1.011s,PASSED
"scrollToElement(findTestObject(""Product Order/input__User ID""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:41,06-03-2026 17:01:47,5.752s,PASSED
"setText(findTestObject(""Product Order/input__User ID""), user_id)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:47,06-03-2026 17:01:57,10.716s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 17:01:57,06-03-2026 17:02:00,3.009s,PASSED
"scrollToElement(findTestObject(""Product Order/input__Email""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:00,06-03-2026 17:02:01,0.307s,PASSED
"setText(findTestObject(""Product Order/input__Email""), valid_email)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:01,06-03-2026 17:02:02,1.711s,PASSED
"click(findTestObject(""Product Order/button_Weekly Diamond Pass""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:02,06-03-2026 17:02:03,0.728s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:03,06-03-2026 17:02:04,1.005s,PASSED
"click(findTestObject(""Product Order/button_Rp 27,819""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:04,06-03-2026 17:02:05,0.528s,PASSED
"verifyTextPresent(""Input ini wajib diisi"", false)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:05,06-03-2026 17:02:05,0.604s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:05,06-03-2026 17:02:06,1.012s,PASSED
,,,,,,,
Test Cases/Product Order/TC_PO_04,Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:06,06-03-2026 17:03:11,1m - 4.908s,PASSED
"callTestCase(findTestCase(""Login/TC_LOG_01""), [:], STOP_ON_FAILURE)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:06,06-03-2026 17:02:28,21.317s,PASSED
"setText(findTestObject(""Product Order/input_Indonesia_cy-search-product""), ""Mobile Legend"")",Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:28,06-03-2026 17:02:29,1.886s,PASSED
delay(5),Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:29,06-03-2026 17:02:35,5.034s,PASSED
"click(findTestObject(""Product Order/img_Indonesia_h-12 w-12 rounded-lg object-cover object-top""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:35,06-03-2026 17:02:35,0.605s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:35,06-03-2026 17:02:36,1.022s,PASSED
"scrollToElement(findTestObject(""Product Order/input__User ID""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:36,06-03-2026 17:02:41,4.969s,PASSED
"setText(findTestObject(""Product Order/input__User ID""), ""222222"")",Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:41,06-03-2026 17:02:52,10.656s,PASSED
"setText(findTestObject(""Product Order/input__Zone ID""), ""11111"")",Edge Chromium 145.0.3800.82,,,06-03-2026 17:02:52,06-03-2026 17:03:02,10.731s,PASSED
"scrollToElement(findTestObject(""Product Order/input__Email""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:02,06-03-2026 17:03:03,0.537s,PASSED
"setText(findTestObject(""Product Order/input__Email""), valid_email)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:03,06-03-2026 17:03:05,2.228s,PASSED
"click(findTestObject(""Product Order/button_Weekly Diamond Pass""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:05,06-03-2026 17:03:06,0.734s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:06,06-03-2026 17:03:07,1.018s,PASSED
"click(findTestObject(""Product Order/button_Rp 27,819""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:07,06-03-2026 17:03:08,0.617s,PASSED
delay(2),Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:08,06-03-2026 17:03:10,2.020s,PASSED
"verifyTextPresent(""Akun yang anda masukkan tidak terdaftar"", false)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:10,06-03-2026 17:03:10,0.390s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:10,06-03-2026 17:03:11,1.004s,PASSED
,,,,,,,
Test Cases/Product Order/TC_PO_06,Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:11,06-03-2026 17:04:15,1m - 3.669s,PASSED
"callTestCase(findTestCase(""Login/TC_LOG_01""), [:], STOP_ON_FAILURE)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:11,06-03-2026 17:03:33,22.142s,PASSED
"setText(findTestObject(""Product Order/input_Indonesia_cy-search-product""), ""Mobile Legend"")",Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:33,06-03-2026 17:03:35,1.219s,PASSED
delay(5),Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:35,06-03-2026 17:03:40,5.030s,PASSED
"click(findTestObject(""Product Order/img_Indonesia_h-12 w-12 rounded-lg object-cover object-top""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:40,06-03-2026 17:03:40,0.628s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:40,06-03-2026 17:03:41,1.022s,PASSED
"scrollToElement(findTestObject(""Product Order/input__User ID""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:41,06-03-2026 17:03:46,4.961s,PASSED
"setText(findTestObject(""Product Order/input__User ID""), user_id)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:46,06-03-2026 17:03:57,10.687s,PASSED
"setText(findTestObject(""Product Order/input__Zone ID""), zone_id)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:03:57,06-03-2026 17:04:08,10.732s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 17:04:08,06-03-2026 17:04:11,3.013s,PASSED
"scrollToElement(findTestObject(""Product Order/input__Email""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:04:11,06-03-2026 17:04:11,0.263s,PASSED
"click(findTestObject(""Product Order/button_Weekly Diamond Pass""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:04:11,06-03-2026 17:04:12,0.713s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 17:04:12,06-03-2026 17:04:13,1.009s,PASSED
"click(findTestObject(""Product Order/button_Rp 27,819""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:04:13,06-03-2026 17:04:13,0.529s,PASSED
"verifyTextPresent(""Input ini wajib diisi"", false)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:04:13,06-03-2026 17:04:14,0.573s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 17:04:14,06-03-2026 17:04:15,1.007s,PASSED
,,,,,,,
Test Cases/Product Order/TC_PO_05,Edge Chromium 145.0.3800.82,,,06-03-2026 17:04:15,06-03-2026 17:04:47,31.948s,FAILED
"callTestCase(findTestCase(""Login/TC_LOG_01""), [:], STOP_ON_FAILURE)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:04:15,06-03-2026 17:04:36,21.389s,PASSED
"setText(findTestObject(""Product Order/input_Indonesia_cy-search-product""), ""Mobile Legend"")",Edge Chromium 145.0.3800.82,,,06-03-2026 17:04:36,06-03-2026 17:04:47,10.445s,FAILED
