Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Product Order/TC_PO_03,Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:37,06-03-2026 18:43:30,53.098s,PASSED
"callTestCase(findTestCase(""Login/TC_LOG_01""), [:], STOP_ON_FAILURE)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:37,06-03-2026 18:42:58,20.771s,PASSED
"setText(findTestObject(""Product Order/input_Indonesia_cy-search-product""), ""Mobile Legend"")",Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:58,06-03-2026 18:42:59,1.396s,PASSED
delay(5),Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:59,06-03-2026 18:43:04,5.022s,PASSED
"click(findTestObject(""Product Order/img_Indonesia_h-12 w-12 rounded-lg object-cover object-top""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:43:04,06-03-2026 18:43:05,0.721s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 18:43:05,06-03-2026 18:43:06,1.023s,PASSED
"scrollToElement(findTestObject(""Product Order/input__User ID""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:43:06,06-03-2026 18:43:11,5.542s,PASSED
"setText(findTestObject(""Product Order/input__User ID""), user_id)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:43:11,06-03-2026 18:43:22,10.746s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 18:43:22,06-03-2026 18:43:25,3.027s,PASSED
"scrollToElement(findTestObject(""Product Order/input__Email""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:43:25,06-03-2026 18:43:26,0.303s,PASSED
"setText(findTestObject(""Product Order/input__Email""), valid_email)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:43:26,06-03-2026 18:43:27,1.594s,PASSED
"click(findTestObject(""Product Order/button_Weekly Diamond Pass""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:43:27,06-03-2026 18:43:28,0.615s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 18:43:28,06-03-2026 18:43:29,1.008s,PASSED
"click(findTestObject(""Product Order/button_Rp 27,819""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:43:29,06-03-2026 18:43:29,0.537s,PASSED
"verifyTextPresent(""Input ini wajib diisi"", false)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:43:29,06-03-2026 18:43:30,0.667s,PASSED
,,,,,,,
Test Cases/Product Order/TC_PO_04,Edge Chromium 145.0.3800.82,,,06-03-2026 18:43:30,06-03-2026 18:44:36,1m - 6.440s,PASSED
"callTestCase(findTestCase(""Login/TC_LOG_01""), [:], STOP_ON_FAILURE)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:43:30,06-03-2026 18:43:52,21.447s,PASSED
"setText(findTestObject(""Product Order/input_Indonesia_cy-search-product""), ""Mobile Legend"")",Edge Chromium 145.0.3800.82,,,06-03-2026 18:43:52,06-03-2026 18:43:55,3.294s,PASSED
