Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Product Order,Edge Chromium 145.0.3800.82,,,06-03-2026 17:36:45,06-03-2026 17:42:07,5m - 21.816s,FAILED
,,,,,,,
Test Cases/Product Order/TC_PO_01,Edge Chromium 145.0.3800.82,,,06-03-2026 17:36:46,06-03-2026 17:38:09,1m - 23.000s,PASSED
"callTestCase(findTestCase(""Login/TC_LOG_01""), [:], STOP_ON_FAILURE)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:36:47,06-03-2026 17:37:20,33.089s,PASSED
"setText(findTestObject(""Product Order/input_Indonesia_cy-search-product""), ""Mobile Legend"")",Edge Chromium 145.0.3800.82,,,06-03-2026 17:37:20,06-03-2026 17:37:21,0.964s,PASSED
delay(5),Edge Chromium 145.0.3800.82,,,06-03-2026 17:37:21,06-03-2026 17:37:26,5.015s,PASSED
"click(findTestObject(""Product Order/img_Indonesia_h-12 w-12 rounded-lg object-cover object-top""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:37:26,06-03-2026 17:37:26,0.562s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 17:37:26,06-03-2026 17:37:27,1.013s,PASSED
"scrollToElement(findTestObject(""Product Order/input__User ID""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:37:27,06-03-2026 17:37:29,1.433s,PASSED
"setText(findTestObject(""Product Order/input__User ID""), user_id)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:37:29,06-03-2026 17:37:39,10.671s,PASSED
"setText(findTestObject(""Product Order/input__Zone ID""), zone_id)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:37:39,06-03-2026 17:37:50,10.698s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 17:37:50,06-03-2026 17:37:53,3.009s,PASSED
"scrollToElement(findTestObject(""Product Order/input__Email""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:37:53,06-03-2026 17:37:53,0.284s,PASSED
"setText(findTestObject(""Product Order/input__Email""), valid_email)",Edge Chromium 145.0.3800.82,,,06-03-2026 17:37:53,06-03-2026 17:37:55,1.398s,PASSED
"click(findTestObject(""Product Order/button_Weekly Diamond Pass""))",Edge Chromium 145.0.3800.82,,,06-03-2026 17:37:55,06-03-2026 17:37:55,0.593s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 17:37:55,06-03-2026 17:37:58,3.023s,PASSED
